TF1,DF1,TF2,DF2
417,301,399,297
76,38,0,0
51,17,7,4
146,132,0,0
50,26,1,1
43,33,0,0
25,23,30,6
305,195,47,44
48,31,0,0
98,43,0,0
27,17,63,26
19,7,43,12
70,48,0,0
164,104,8,7
104,65,73,64
68,33,31,25
47,45,0,0
24,8,8,6
26,10,16,6
86,24,29,17
56,16,0,0
86,41,0,0
27,12,25,9
39,33,18,14
136,85,4,4
378,184,1,1
312,214,3,3
26,12,11,4
76,51,30,21
209,137,0,0
77,53,0,0
169,140,104,85
407,171,152,88
695,334,138,86
571,231,97,70
161,109,0,0
155,92,76,65
146,99,85,68
322,119,13,12
86,49,1,1
219,146,198,122
336,256,2,1
117,93,11,8
128,93,0,0
38,32,0,0
51,27,0,0
442,313,3,3
422,212,17,12
366,295,0,0
166,105,62,43
670,310,6,4
257,164,6,4
122,99,0,0
215,166,100,87
476,242,3,3
7,5,1085,357
1,1,254,206
41,26,60,43
52,45,1,1
46,29,5,1
257,99,22,6
297,102,72,37
131,74,47,36
140,82,1,1
1407,690,58,29
21,16,27,12
29,12,13,11
517,335,293,228
20,17,11,8
38,26,41,33
263,155,78,53
672,429,388,290
275,191,4,3
62,27,18,12
272,192,0,0
44,21,7,4
80,74,0,0
136,120,0,0
624,192,246,117
121,74,3,1
153,108,0,0
55,29,56,37
31,15,12,9
154,108,59,46
265,136,0,0
487,206,2,2
64,34,0,0
368,177,41,24
30,22,2,2
185,100,96,75
279,115,231,107
199,106,14,10
63,27,22,10
128,71,74,33
137,129,0,0
60,39,0,0
62,38,19,14
49,27,55,28
54,36,0,0
84,38,13,8
349,294,5,5
144,88,2,2
618,166,48,28
80,44,20,7
90,34,24,14
87,76,1,1
565,369,3,3
72,45,12,9
190,108,48,29
40,26,2,2
354,181,0,0
44,31,4,4
183,161,0,0
618,475,0,0
114,54,5,3
684,481,1,1
60,47,0,0
512,149,6,6
312,149,15,6
321,174,136,81
88,52,2,2
410,121,1,1
548,401,0,0
150,129,0,0
64,50,1,1
48,42,0,0
144,95,0,0
261,166,3,2
113,80,0,0
37,18,29,13
217,109,0,0
137,90,1,1
64,44,3,3
75,27,17,10
129,56,57,34
134,86,5,4
133,78,44,36
249,147,102,58
65,49,0,0
396,220,280,151
567,258,69,48
197,82,95,64
40,13,16,4
286,66,184,40
119,98,1,1
282,170,174,130
303,224,0,0
191,136,0,0
503,275,3,3
52,49,0,0
166,104,0,0
133,99,2,2
403,316,1,1
323,160,3,2
65,36,0,0
134,66,10,7
343,183,19,15
396,212,3,3
258,105,1,1
219,166,7,5
377,254,0,0
160,51,91,10
121,56,41,30
21,12,38,11
132,97,2,2
311,206,2,2
328,261,405,310
304,149,12,3
148,114,4,2
38,21,21,9
92,74,0,0
227,132,39,26
154,86,0,0
238,118,0,0
231,86,2,2
242,98,283,129
44,36,0,0
88,25,35,15
162,76,60,48
212,149,1,1
114,73,0,0
140,118,0,0
78,34,49,20
285,209,1,1
71,54,4,4
391,198,2111,1157
132,71,56,29
336,145,59,30
229,127,97,65
53,26,0,0
227,133,1,1
143,91,66,52
111,33,74,15
239,53,142,29
90,61,13,11
180,84,69,46
65,50,33,30
107,99,1,1
28,15,3,2
120,92,77,62
49,37,0,0
144,48,2,1
191,118,129,72
49,45,0,0
217,151,0,0
49,45,47,37
79,67,37,31
54,48,0,0
88,68,40,37
104,72,57,43
199,133,120,91
145,91,50,38
384,163,169,76
46,26,25,17
104,79,74,62
117,49,4,3
211,170,0,0
406,241,3,3
94,62,3,3
786,576,0,0
266,205,4,3
136,72,0,0
122,83,0,0
188,134,1,1
31,29,0,0
51,42,0,0
162,117,4,4
157,88,1,1
63,45,0,0
224,134,0,0
181,121,0,0
782,502,0,0
25,22,17,13
255,141,0,0
181,155,0,0
320,190,43,9
33,32,1,1
906,422,8,7
239,128,1,1
27,24,21,18
156,78,2,2
39,21,0,0
185,168,116,91
268,228,0,0
57,55,0,0
191,135,64,51
114,63,1,1
308,184,6,3
265,146,0,0
317,201,5,5
44,25,1,1
160,78,58,31
32,26,0,0
122,97,2,2
52,43,42,37
32,22,0,0
41,29,0,0
205,100,2,2
87,45,1,1
56,38,1,1
68,51,1,1
69,55,1,1
80,40,35,20
122,88,2,2
97,86,0,0
821,323,9,3
67,63,2,2
360,292,1,1
96,82,0,0
106,63,14,8
105,68,0,0
112,100,0,0
390,299,2,2
448,357,0,0
212,132,2,2
947,570,6,6
438,290,195,139
144,94,2,2
89,23,0,0
123,88,1,1
135,109,0,0
407,283,11,9
89,65,0,0
362,174,1,1
430,201,179,98
54,30,0,0
112,65,35,24
153,92,0,0
498,251,71,41
241,187,4,4
71,54,35,31
225,133,4,3
212,156,30,18
312,167,20,16
269,150,0,0
187,132,1,1
287,154,1,1
22,13,10,4
33,30,13,12
74,59,17,10
286,147,26,13
281,190,248,130
110,100,0,0
84,47,0,0
339,168,33,17
103,45,33,18
228,130,94,73
687,611,13,10
128,93,2,2
45,37,0,0
65,46,0,0
70,53,0,0
103,86,40,36
359,298,1,1
194,145,14,11
341,271,2,2
72,60,0,0
31,19,0,0
112,82,40,34
259,161,90,62
82,62,34,29
41,31,0,0
51,45,0,0
40,26,0,0
441,319,18,7
455,242,1,1
52,40,35,32
105,50,5,4
74,40,33,19
71,23,24,15
77,54,4,3
508,367,0,0
32,14,0,0
142,123,0,0
423,238,0,0
208,167,0,0
47,47,4,4
59,18,2,1
75,28,22,13
283,123,9,9
71,58,0,0
14,11,48,35
45,33,1418,786
209,89,1,1
159,89,1,1
105,72,7,6
172,62,8,6
176,88,7,5
50,40,0,0
64,34,9,5
255,184,1,1
71,66,0,0
250,193,2,2
252,162,47,32
65,22,43,21
275,190,184,128
23,19,220,127
0,0,31,13
29,10,26,6
63,50,2,2
32,10,1,1
58,52,0,0
51,36,65,42
62,47,11,3
200,52,48,29
116,92,5,4
67,46,0,0
446,234,6,5
70,61,4,2
174,46,172,103
7,4,56,22
5,4,745,484
44,19,9,6
115,27,41,16
244,113,18,12
31,9,1,1
125,68,5,4
42,31,2,2
48,17,11,7
47,33,9,7
159,77,2,1
50,21,17,11
747,262,230,99
34,23,0,0
139,78,492,339
74,32,18,7
82,53,36,19
105,88,5,5
74,34,3,3
50,12,204,119
290,186,190,126
289,110,1,1
77,48,1,1
56,49,0,0
527,343,6,6
390,277,0,0
119,66,37,5
50,30,0,0
30,27,0,0
177,105,7,7
96,60,0,0
62,49,0,0
146,78,1,1
39,33,0,0
54,42,1,1
63,44,0,0
217,115,0,0
83,53,2,2
235,120,2,2
35,35,0,0
332,202,6,5
267,113,13,9
1883,945,2,2
175,127,0,0
64,57,0,0
194,132,0,0
80,59,0,0
109,42,2,1
228,145,2,2
43,25,13,9
418,279,2,2
224,184,1,1
531,375,0,0
152,95,1,1
86,32,0,0
51,34,24,19
49,46,0,0
136,127,1,1
186,111,0,0
42,20,0,0
71,58,1,1
428,315,0,0
76,21,0,0
48,38,0,0
219,92,0,0
202,151,2,2
87,79,0,0
243,184,1,1
282,173,1,1
79,45,71,43
31,27,161,54
105,56,78,38
157,122,7,3
287,138,56,19
241,135,1,1
53,42,1,1
397,188,30,23
115,35,0,0
104,50,74,39
25,14,2,2
87,40,1,1
188,106,0,0
91,37,0,0
48,42,0,0
140,69,54,31
175,92,5,5
35,25,3,2
479,205,14,8
717,356,786,399
596,460,18,13
180,104,2,2
73,57,0,0
71,11,10,4
26,14,6,3
292,112,1,1
64,40,0,0
716,521,14,11
53,41,0,0
134,108,0,0
399,281,2,2
36,29,0,0
448,154,11,5
349,277,3,2
32,12,0,0
755,154,11,10
83,34,9,6
38,36,0,0
49,47,5,5
126,70,1,1
154,86,0,0
88,35,1,1
33,23,0,0
73,37,14,8
56,6,4,3
123,54,2,1
757,466,1,1
43,38,0,0
79,70,11,8
90,81,1,1
252,212,1,1
128,103,0,0
140,82,11,2
165,102,0,0
52,39,0,0
135,57,26,16
47,30,20,17
68,28,0,0
147,127,1,1
88,59,0,0
238,177,1,1
289,124,1,1
479,251,1,1
64,49,0,0
153,113,0,0
377,275,1,1
249,147,1,1
248,159,5,4
40,36,3,3
223,111,3,2
390,231,18,17
51,45,0,0
78,67,0,0
167,46,0,0
166,128,0,0
135,113,0,0
214,149,131,105
29,21,0,0
77,55,0,0
398,256,2,1
88,53,0,0
52,47,0,0
216,158,13,9
551,360,0,0
21,11,14,4
357,221,1,1
108,64,23,16
135,71,0,0
531,383,1,1
148,100,1,1
62,57,0,0
203,132,0,0
37,33,4,4
435,196,0,0
75,47,0,0
61,57,0,0
58,24,0,0
271,196,4,4
67,56,6,5
153,73,53,35
120,77,45,29
144,111,0,0
45,45,16,16
35,24,9,4
251,167,11,6
342,258,0,0
218,179,1,1
128,100,105,67
145,74,30,19
43,41,0,0
78,64,5,5
55,43,0,0
77,68,0,0
84,55,1,1
420,183,5,4
32,30,0,0
270,217,2,1
149,80,0,0
141,122,3,1
226,102,1,1
74,49,28,20
97,54,27,18
65,30,12,9
75,36,23,12
391,206,141,87
51,23,5,2
908,557,952,483
89,59,1,1
91,54,1,1
53,35,0,0
284,148,3,3
123,89,11,4
41,30,0,0
513,171,237,129
52,43,1,1
240,151,3,2
38,29,2,2
118,60,0,0
185,124,15,8
52,40,0,0
119,75,12,9
241,116,31,20
45,42,30,28
366,266,9,7
440,355,3,3
32,21,5,1
182,165,1,1
321,188,47,26
195,140,0,0
74,69,0,0
81,70,0,0
502,212,11,8
62,1,11,2
51,47,0,0
51,48,0,0
115,96,0,0
52,11,2,2
68,42,9,4
167,133,0,0
85,58,2,2
363,247,5,5
191,111,1,1
34,21,19,11
38,25,12,8
267,189,6,6
31,24,0,0
158,130,2,2
120,89,6,2
450,177,5,4
84,72,0,0
394,121,1,1
203,132,1,1
102,77,0,0
32,28,0,0
266,152,35,28
324,256,1,1
113,86,0,0
44,31,4,4
610,387,400,289
190,141,60,42
31,28,0,0
228,145,2,1
595,305,1,1
104,55,0,0
774,492,0,0
64,53,0,0
78,59,50,33
221,166,9,5
81,72,0,0
57,47,1,1
33,31,0,0
181,76,5,5
130,72,13,12
66,60,0,0
66,56,0,0
240,110,239,144
38,35,0,0
434,223,1,1
251,207,0,0
461,313,4,3
22,11,18,8
105,95,2,2
100,59,2,2
189,106,0,0
81,46,1,1
134,95,0,0
97,86,2,2
122,81,28,22
29,27,1,1
61,56,0,0
43,30,4,2
317,151,7,4
130,96,83,73
84,69,12,10
208,168,1,1
523,363,8,6
30,26,3,3
293,223,0,0
76,60,6,3
127,100,2,2
256,199,11,7
143,126,2,2
232,110,699,475
61,50,1,1
83,55,6,4
414,260,0,0
46,31,1,1
236,150,11,4
296,139,18,11
175,103,0,0
82,56,0,0
239,193,14,8
101,84,7,6
294,215,15,11
158,118,0,0
70,46,1,1
276,214,0,0
31,25,1,1
76,42,1,1
80,43,3,3
123,76,10,5
36,22,7,5
43,39,0,0
51,44,0,0
224,157,73,61
432,349,0,0
82,71,0,0
421,309,2,2
75,66,0,0
87,82,0,0
155,74,18,12
297,176,0,0
178,136,18,8
69,52,0,0
352,273,0,0
178,161,0,0
59,49,8,4
114,98,3,3
16,8,15,3
65,57,0,0
36,30,0,0
272,210,0,0
142,90,0,0
165,116,1,1
75,71,0,0
349,298,19,16
127,64,3,2
25,13,11,5
330,117,12,11
53,46,1,1
229,177,1,1
107,80,2,2
92,29,0,0
430,265,1,1
75,51,34,18
88,63,9,6
1260,619,15,14
178,129,11,8
230,190,0,0
563,416,0,0
28,16,14,7
58,49,0,0
124,101,299,153
178,137,1,1
186,135,1,1
444,319,2,1
302,164,1,1
326,200,5,5
105,74,0,0
65,46,2,2
178,117,9,4
173,124,0,0
37,31,0,0
669,352,5,3
37,35,0,0
43,14,23,2
40,36,0,0
165,129,1,1
63,41,0,0
21,13,9,5
24,19,14,13
105,61,22,18
279,117,168,62
342,281,2,2
105,90,0,0
103,77,49,40
59,41,0,0
131,68,57,35
45,11,0,0
211,182,1,1
853,375,41,24
148,89,0,0
43,31,0,0
73,54,35,33
34,29,0,0
94,86,1,1
30,7,2,2
194,54,51,27
448,247,5,1
55,25,3,3
60,34,25,17
47,28,59,40
72,27,34,15
406,276,1,1
31,23,0,0
292,183,1,1
208,132,1,1
97,44,10,7
324,235,1,1
313,259,0,0
65,47,43,33
46,39,0,0
247,184,0,0
63,63,0,0
40,36,0,0
51,32,18,18
50,39,6,6
14,9,134,106
117,92,0,0
90,47,1,1
780,416,1,1
16,14,15,11
84,46,7,7
35,10,0,0
86,66,86,74
82,55,0,0
211,65,4,3
37,33,0,0
127,78,11,1
427,231,11,9
30,23,0,0
267,219,4,4
76,72,2,2
80,59,0,0
282,171,1,1
42,8,0,0
59,52,3,2
291,158,177,101
119,42,2,1
122,80,0,0
245,196,132,114
227,165,0,0
227,134,0,0
48,3,0,0
250,115,0,0
540,288,3,3
766,369,279,136
154,101,2,2
41,32,10,6
228,155,1,1
56,42,32,24
30,17,0,0
33,4,7,3
138,54,0,0
93,75,3,2
68,56,29,29
39,34,20,18
151,107,0,0
49,22,0,0
76,48,0,0
47,30,0,0
39,26,34,12
72,35,1,1
140,70,0,0
54,37,4,3
45,14,6,1
86,42,7,6
48,25,2,1
99,17,24,8
83,63,9,9
26,13,9,6
128,70,3,1
102,87,0,0
493,59,84,34
31,29,2,2
34,33,1,1
284,160,144,72
73,51,23,18
46,29,17,13
153,78,377,190
150,77,312,129
607,239,27,20
49,44,0,0
112,55,42,30
39,7,2,1
28,20,6,3
116,67,5,5
31,11,15,10
142,44,8,5
118,67,2,2
66,19,0,0
38,33,0,0
184,159,1,1
93,29,0,0
314,240,0,0
84,34,29,17
106,69,10,6
242,177,22,14
46,40,0,0
34,25,0,0
545,290,6,5
274,183,5,4
331,247,1,1
233,205,0,0
77,70,0,0
45,38,3,3
335,249,1,1
202,60,20,4
268,218,6,5
53,34,0,0
177,98,1,1
126,99,80,66
217,118,160,73
270,116,1,1
284,98,0,0
166,99,1,1
135,65,0,0
62,56,2,2
159,138,0,0
591,575,0,0
60,45,0,0
99,47,41,10
236,180,0,0
82,65,0,0
52,39,0,0
65,29,4,3
66,52,0,0
267,180,164,120
70,41,5,3
45,39,0,0
91,54,25,18
152,98,67,43
178,101,41,33
44,32,27,18
23,17,9,6
85,50,1,1
336,198,112,60
68,25,15,11
170,83,6,5
39,17,20,2
30,10,3,2
785,360,74,51
47,45,0,0
110,86,228,183
173,135,0,0
139,98,3,3
315,211,14,11
58,22,3,3
40,38,1,1
217,167,4,4
160,84,59,40
439,177,199,92
24,6,18,4
67,32,11,7
237,148,3,2
490,299,6,6
52,41,4,4
44,29,2,2
57,23,36,8
75,63,0,0
42,22,19,12
32,16,0,0
264,104,124,29
266,70,48,19
40,20,24,9
102,89,0,0
55,13,2,2
29,14,0,0
238,110,0,0
54,22,0,0
42,30,0,0
167,106,0,0
188,117,2,1
53,48,1,1
88,70,2,2
245,155,0,0
2259,795,3,3
37,33,0,0
85,23,14,3
466,195,1,1
126,107,0,0
233,130,0,0
52,47,0,0
97,32,0,0
285,205,13,10
129,105,0,0
85,30,0,0
74,60,0,0
189,72,20,6
172,116,0,0
48,34,0,0
49,41,0,0
197,80,0,0
74,47,0,0
165,132,0,0
150,112,0,0
63,50,0,0
191,106,65,35
334,170,5,5
29,25,8,2
196,122,21,13
83,39,186,122
54,53,0,0
66,36,20,11
180,121,104,79
116,56,6,6
43,31,0,0
199,120,6,5
59,47,3,2
27,23,2,2
31,18,3,1
36,29,8,7
32,24,9,7
51,37,4,4
154,86,0,0
42,33,0,0
210,71,6,5
246,147,2,1
661,286,29,22
120,58,5,2
30,28,5,4
78,66,0,0
64,49,5,1
35,29,3,1
166,127,104,80
46,30,0,0
129,72,53,38
32,30,0,0
82,62,7,7
39,19,1,1
39,29,1,1
302,234,19,9
49,41,0,0
466,326,2,2
116,71,7,5
95,83,0,0
91,57,1,1
32,30,0,0
106,58,0,0
34,26,7,7
64,24,0,0
32,32,0,0
26,17,26,6
28,23,5,5
170,140,8,7
126,90,0,0
46,32,4,4
137,65,39,24
88,66,44,34
290,88,97,42
41,28,25,14
76,43,22,17
27,9,4,3
127,88,0,0
31,23,7,3
267,176,25,16
42,24,0,0
73,41,37,21
188,159,0,0
40,21,0,0
210,177,0,0
405,287,2,1
87,79,6,5
349,214,3,2
33,5,0,0
120,64,14,9
20,15,24,19
74,47,1,1
388,159,24,16
187,144,2,2
523,296,5,5
19,17,12,9
111,81,1,1
85,63,0,0
116,75,5,2
34,8,14,8
49,29,1,1
164,115,0,0
58,13,16,6
104,5,30,2
78,23,18,3
238,136,17,14
41,38,1,1
94,52,11,9
168,112,34,15
112,78,1,1
68,35,7,5
994,631,17,11
75,52,0,0
577,339,165,109
118,56,0,0
43,9,11,7
14,13,20,14
208,112,37,23
60,54,2,1
21,11,10,8
25,8,0,0
136,117,100,83
214,107,200,104
466,52,128,25
265,21,6,1
347,114,182,83
27,22,7,7
505,217,280,131
33,13,9,3
248,56,63,28
391,307,0,0
473,322,8,7
55,37,5,4
82,32,16,7
60,45,7,7
107,84,5,4
88,81,4,4
89,60,0,0
97,5,4,2
97,77,0,0
672,327,21,17
37,26,0,0
49,44,0,0
200,141,4,3
65,60,0,0
44,23,14,5
81,69,1,1
69,30,0,0
40,32,15,13
91,69,43,34
210,127,6,3
170,102,0,0
153,109,78,60
120,89,66,57
108,80,48,41
61,29,0,0
110,65,42,24
131,118,0,0
29,17,20,9
316,155,1,1
51,46,49,43
77,63,1,1
586,255,22,7
23,20,9,4
60,52,0,0
315,161,1,1
30,24,0,0
18,15,16,6
117,74,0,0
41,29,25,19
95,78,0,0
61,49,0,0
60,58,0,0
372,252,26,8
52,45,1,1
110,69,57,33
96,68,33,25
157,132,0,0
42,36,0,0
192,103,60,44
39,26,11,9
595,503,0,0
37,36,0,0
25,23,5,4
163,129,1,1
364,185,2,2
43,23,0,0
117,84,1,1
140,93,51,32
94,85,0,0
216,156,16,8
111,89,0,0
47,35,0,0
90,38,40,23
51,30,5,4
43,38,1,1
54,43,26,21
24,16,11,7
26,8,7,6
223,159,9,9
35,29,0,0
22,15,12,7
44,40,3,3
94,52,0,0
75,55,24,6
79,24,45,15
83,41,0,0
60,37,0,0
51,19,26,10
106,64,98,56
257,205,8,4
191,153,9,8
64,39,0,0
155,80,49,26
43,41,0,0
40,38,0,0
374,294,3,1
78,37,32,19
21,5,37,19
81,31,29,11
137,79,2,2
91,83,0,0
45,34,0,0
229,161,160,107
41,26,0,0
100,60,56,25
23,15,6,3
122,74,0,0
41,30,1,1
110,63,7,7
98,58,21,18
60,51,4,4
50,17,26,9
19,15,11,7
100,83,7,2
125,96,1,1
306,253,0,0
42,27,0,0
665,616,22,17
70,63,0,0
251,195,2,2
90,74,5,4
64,63,1,1
22,19,8,6
39,18,532,386
80,58,2,1
36,31,0,0
174,156,0,0
97,70,0,0
39,11,27,8
108,80,31,29
128,50,1,1
63,19,0,0
37,20,21,11
45,39,0,0
36,29,0,0
76,70,2,2
316,241,7,2
23,17,8,7
106,74,0,0
195,151,7,5
158,134,2,2
94,79,4,3
40,9,7,4
57,50,0,0
70,15,14,8
40,13,5,5
78,62,0,0
40,25,0,0
111,61,14,11
31,26,0,0
160,112,5,4
66,49,1,1
141,71,1,1
175,156,136,103
60,55,0,0
59,30,0,0
95,66,35,24
199,90,103,48
47,38,0,0
85,58,20,13
59,46,4,3
297,221,7,4
32,14,13,6
110,74,0,0
35,21,8,6
26,15,32,18
22,13,43,33
50,44,0,0
101,55,19,16
17,13,13,11
31,26,18,15
127,39,68,40
24,21,43,32
99,51,1,1
526,441,326,269
34,4,3,2
341,88,12,8
49,15,4,4
46,43,0,0
309,149,8,3
26,19,10,4
279,159,7,3
217,115,134,73
535,262,326,201
431,169,70,26
138,113,7,4
292,223,0,0
39,29,0,0
278,141,0,0
63,44,4,3
125,64,1,1
59,39,13,4
220,159,106,89
38,32,0,0
34,4,6,2
56,26,19,12
50,33,15,13
57,21,19,13
71,60,0,0
214,141,100,72
145,102,6,5
59,47,0,0
39,35,0,0
100,97,0,0
277,180,21,12
57,38,2,2
66,31,0,0
70,52,0,0
184,110,4,3
69,49,0,0
31,19,2,2
78,24,14,2
61,34,630,462
42,35,18,17
74,23,0,0
320,245,0,0
211,115,1,1
159,66,5,5
210,120,0,0
21,17,11,7
91,21,46,16
120,29,15,13
64,36,0,0
24,18,16,11
34,8,11,6
41,26,46,32
73,67,0,0
96,67,5,2
64,47,23,20
375,157,22,11
30,23,0,0
125,99,1,1
58,23,0,0
361,161,11,8
36,28,0,0
117,62,11,10
65,58,74,54
90,51,1,1
32,29,0,0
266,219,0,0
67,62,0,0
123,96,1,1
177,88,0,0
169,58,1,1
112,70,0,0
125,104,0,0
90,22,49,12
154,69,57,30
69,38,1,1
160,50,78,26
47,7,19,6
120,66,52,35
57,40,1,1
65,37,0,0
18,13,21,15
22,22,8,7
38,23,16,11
134,64,2,2
51,23,0,0
33,19,17,7
43,21,29,23
43,37,0,0
122,54,1,1
78,53,3,2
188,151,1,1
166,7,25,5
277,197,0,0
514,238,16,1
33,31,21,18
29,24,17,15
297,171,43,33
52,27,1,1
32,26,1,1
71,50,0,0
118,2,10,4
103,83,1,1
156,20,98,8
109,88,3,3
120,80,7,6
74,52,0,0
54,6,9,4
26,9,15,2
308,149,1,1
23,12,20,9
53,50,0,0
92,75,0,0
152,86,1,1
127,98,0,0
30,20,0,0
310,169,3,3
38,26,0,0
166,131,0,0
127,34,0,0
31,13,9,9
34,26,10,7
193,131,11,3
32,22,1,1
292,158,1,1
32,22,1,1
327,176,11,8
59,55,0,0
70,50,3,3
166,86,2,2
78,68,4,4
32,28,0,0
111,67,0,0
382,225,0,0
62,51,2,1
59,51,1,1
163,137,6,6
68,54,5,3
84,61,0,0
96,76,1,1
97,49,2,2
58,46,0,0
82,58,5,4
37,15,13,9
41,12,18,5
83,45,4,2
208,150,6,4
31,24,0,0
134,62,26,13
151,121,6,4
343,271,4,3
69,33,1,1
92,44,0,0
41,29,0,0
470,262,10,7
230,182,0,0
52,20,0,0
200,155,0,0
309,188,672,303
20,10,10,6
77,49,0,0
99,44,61,36
48,31,32,19
105,40,19,1
97,51,581,224
103,40,0,0
43,40,0,0
54,42,0,0
102,89,3,3
47,35,97,60
71,48,20,16
193,97,55,28
74,51,0,0
107,75,1,1
28,23,1,1
66,45,1,1
56,34,0,0
33,15,13,9
86,56,0,0
133,120,0,0
33,20,1,1
88,44,0,0
25,22,14,13
118,98,0,0
80,50,47,26
108,63,2,1
1013,373,14,5
39,24,4,4
155,65,5,2
64,50,0,0
84,20,52,32
39,29,20,14
38,37,0,0
282,183,129,83
29,28,7,7
179,92,98,41
35,29,0,0
34,28,1,1
194,148,4,4
238,109,15,13
175,125,4,4
68,60,0,0
108,83,5,5
27,12,6,6
120,61,15,14
176,80,57,37
202,91,94,29
380,236,0,0
46,25,15,11
43,30,0,0
45,22,10,8
55,39,0,0
133,92,8,6
69,43,1,1
42,34,14,5
252,200,0,0
63,36,4,4
35,18,4,1
58,48,1,1
128,91,2,2
58,47,1,1
232,84,85,16
141,91,11,8
361,307,0,0
69,60,2,2
60,44,3,2
32,25,1,1
335,101,19,2
62,50,0,0
249,131,263,147
66,43,20,12
229,180,16,6
214,128,1,1
39,3,5,4
1023,284,3,3
291,53,0,0
57,39,1,1
52,43,0,0
32,28,0,0
68,45,6,6
345,215,14,13
94,83,65,61
37,36,0,0
203,98,0,0
158,137,0,0
166,87,1,1
78,57,2,1
110,93,1,1
45,37,3,3
71,61,0,0
48,45,0,0
42,37,0,0
33,6,23,4
98,45,46,19
35,30,0,0
23,3,8,1
235,197,7,6
186,157,0,0
157,135,0,0
63,12,77,6
104,20,91,11
32,29,0,0
43,33,16,14
57,28,0,0
49,41,0,0
244,189,0,0
70,17,12,6
70,55,0,0
116,104,1,1
216,77,64,36
226,86,66,37
82,49,14,8
106,62,2,2
31,23,0,0
27,19,4,1
44,29,0,0
146,122,1,1
115,75,25,20
96,56,2,2
660,460,0,0
114,55,1,1
122,94,0,0
103,90,1,1
174,116,101,53
71,56,0,0
57,51,0,0
196,156,0,0
115,40,7,6
378,234,2,2
23,15,9,6
137,76,54,35
317,231,2,2
103,68,2,2
90,55,3,3
50,42,0,0
71,20,10,3
50,32,10,5
73,62,31,26
80,48,6,5
123,59,15,13
118,46,3,2
234,103,88,48
116,95,32,31
35,32,0,0
35,24,2,2
67,57,0,0
49,43,0,0
141,117,0,0
204,139,1,1
71,49,13,10
88,77,2,2
190,124,101,60
144,77,3,2
93,24,54,13
241,129,22,9
210,77,0,0
74,46,36,23
123,99,0,0
105,79,4,4
105,86,0,0
37,30,0,0
188,126,0,0
254,208,0,0
380,308,8,8
259,213,0,0
34,24,0,0
42,33,1,1
63,31,26,15
33,8,16,3
112,49,37,22
41,36,0,0
91,50,18,17
60,55,5,3
467,289,267,190
69,54,0,0
156,103,1,1
77,15,4,2
62,19,26,5
70,65,0,0
34,29,0,0
126,63,0,0
203,182,0,0
416,217,17,13
112,98,0,0
168,146,0,0
54,51,0,0
146,82,0,0
74,53,1,1
259,131,12,6
233,191,0,0
32,29,6,6
62,49,0,0
130,100,0,0
44,30,3,3
72,46,24,16
59,48,0,0
113,55,1,1
96,55,4,3
432,191,15,9
72,47,2,2
26,24,5,4
170,133,1,1
68,54,0,0
158,106,0,0
116,95,0,0
114,80,7,3
72,62,40,35
57,53,64,53
462,360,2,2
25,23,11,10
45,28,1,1
61,54,0,0
72,23,2,2
283,95,1,1
46,30,1,1
53,46,0,0
230,172,9,4
59,47,8,3
102,77,66,47
31,17,0,0
96,67,0,0
102,52,4,4
961,256,13,5
39,26,67,39
61,50,10,5
166,76,9,5
11,11,41,5
70,52,46,37
72,38,43,31
35,15,13,5
165,101,0,0
212,97,1,1
223,172,10,6
35,11,10,6
413,278,3,2
83,56,2,2
70,58,34,29
168,73,83,41
37,31,0,0
41,22,14,10
120,100,0,0
149,48,10,9
61,32,20,5
43,25,6,6
34,22,0,0
51,45,20,16
45,18,1,1
73,27,2,2
73,52,0,0
120,103,0,0
91,45,39,22
63,50,29,24
147,94,8,7
52,31,1,1
208,188,119,99
40,30,0,0
71,58,0,0
34,17,5,3
714,500,202,147
158,134,1,1
109,73,1,1
114,98,0,0
521,237,6,5
39,37,3,1
53,40,15,9
198,104,1,1
84,73,3,3
74,62,0,0
77,66,0,0
194,154,135,112
332,195,24,8
183,159,0,0
91,46,0,0
164,92,0,0
98,57,19,5
72,53,3,3
445,328,0,0
31,27,0,0
166,89,14,9
30,28,16,14
38,18,0,0
211,86,3,2
84,61,10,8
94,40,52,24
47,31,0,0
23,20,12,11
85,68,0,0
179,121,13,8
90,85,47,41
97,35,0,0
57,53,0,0
111,63,272,159
50,33,0,0
98,32,0,0
116,95,0,0
62,41,0,0
270,171,2,2
71,46,0,0
81,37,5,4
71,57,0,0
161,121,0,0
339,257,306,234
354,228,0,0
150,110,5,2
44,37,2,2
788,467,19,11
555,348,1,1
51,51,0,0
232,170,1,1
967,346,40,22
45,40,0,0
371,222,2,2
443,327,0,0
110,68,1,1
112,72,1,1
159,118,0,0
30,22,0,0
82,69,2,2
137,101,7,2
60,42,0,0
69,56,0,0
28,21,10,8
133,63,18,9
195,32,7,2
44,23,0,0
51,26,10,7
50,26,0,0
283,111,2,2
195,90,17,17
119,84,1,1
165,135,6,2
580,209,1,1
217,96,0,0
212,128,30,11
285,81,165,77
65,44,0,0
52,34,6,4
34,32,0,0
87,11,1,1
48,24,1,1
26,19,15,5
45,35,3,3
91,56,0,0
178,101,0,0
135,90,2,2
29,21,0,0
72,44,0,0
58,28,3,1
95,32,1,1
127,66,2,1
441,294,25,20
34,27,0,0
365,221,2,2
16,13,16,13
44,18,0,0
44,40,0,0
63,58,0,0
