TF1,DF1,TF2,DF2
285,175,11,9
618,313,278,152
104,51,16,9
1131,488,1787,695
32,28,152,104
1965,774,89,73
196,158,1,1
1949,1139,1422,860
1096,772,3,3
456,355,0,0
790,390,382,198
549,332,0,0
473,276,2,1
245,89,7,4
111,88,0,0
1549,912,53,29
2389,976,14,13
464,331,15,6
4017,1876,24,17
29,22,1,1
986,661,1,1
311,119,22,16
1046,651,20,10
1878,1091,16,12
28,25,22,20
1525,768,95,64
1205,463,22,12
41,32,16,16
271,222,0,0
795,581,1,1
562,253,3,3
49,41,0,0
36,22,0,0
974,660,0,0
5116,2102,6,4
53,49,0,0
43,40,15,13
412,311,6,3
30,25,22,18
30,20,9,7
88,54,1,1
982,655,5,5
1045,715,706,524
1930,1118,1,1
867,623,5,3
5717,2640,51,38
277,235,1,1
378,182,4,3
3765,1863,15,12
1706,682,37,19
263,217,1,1
166,105,5,2
1455,916,3,3
1034,599,2,2
4429,1799,29,23
1828,1032,51,34
980,706,629,483
1870,1045,1,1
1624,753,117,88
423,222,9,5
114,91,22,19
1943,484,108,50
1778,1009,6,3
1884,859,1549,762
63,59,0,0
697,525,445,362
1204,761,0,0
2282,1307,3,3
81,69,0,0
283,246,0,0
1463,923,16,13
1157,769,712,517
29,26,36,22
61,54,0,0
82,48,0,0
387,199,144,83
533,262,2,2
54,49,0,0
1350,515,137,84
59,43,1,1
2780,1232,77,52
36,25,0,0
1046,649,25,21
756,550,5,2
271,84,14,9
1197,709,13,11
46,40,44,29
1606,973,438,353
159,125,0,0
1867,1075,6,6
1209,817,7,4
1476,952,13,9
199,166,0,0
5192,2365,17,13
48,43,0,0
1141,783,1,1
45,30,18,15
166,125,0,0
39,18,7,5
35,32,26,20
41,32,27,17
65,49,53,43
84,50,31,22
824,422,1,1
55,43,23,22
1019,717,13,10
41,32,30,24
386,191,2,2
31,28,0,0
310,256,0,0
1219,760,58,37
157,114,2,2
96,67,12,12
54,43,40,33
38,18,9,7
44,21,16,11
78,58,65,43
252,151,0,0
33,13,7,3
70,61,1,1
2257,1234,19,15
349,243,8,7
787,437,322,198
52,48,0,0
863,384,402,205
488,353,0,0
397,221,3,3
878,244,3,3
392,330,3,2
900,656,8,5
663,258,0,0
113,106,0,0
371,227,106,88
164,111,0,0
1570,580,7,7
210,104,7,3
117,75,160,92
94,63,101,69
800,506,10,10
2377,1048,960,585
477,187,20,12
711,290,284,147
3543,963,7,7
1925,874,0,0
476,178,1,1
1595,974,23,15
272,146,0,0
2001,960,487,349
25,23,11,11
113,42,19,9
103,49,0,0
49,39,0,0
53,36,9,5
420,155,16,11
2162,608,1124,342
274,127,2,2
334,158,107,54
915,535,0,0
1036,799,0,0
1754,1076,16,13
89,44,1,1
1575,709,34,24
3549,1406,143,114
1083,712,4,3
54,41,6,3
1193,782,22,16
781,395,395,238
138,90,2,2
375,256,4,4
1009,536,27,20
93,71,50,41
167,146,94,74
1666,790,466,258
153,137,114,85
840,418,816,336
73,65,53,45
989,512,17,11
592,391,3,2
126,82,1,1
43,34,0,0
1586,529,37,26
36,32,0,0
253,171,138,108
1042,439,12,7
523,172,8,3
207,155,0,0
3108,1576,1995,1065
2356,1322,1579,930
2331,1071,1032,635
91,66,50,37
800,546,2,2
3168,1273,36,24
3550,1621,47,30
961,645,10,8
3404,1840,11,9
358,262,3,3
2017,1085,15,10
1154,462,17,15
1169,464,15,12
31,13,1,1
44,25,22,12
76,54,250,186
106,71,0,0
314,256,1,1
863,598,415,303
61,59,0,0
68,63,0,0
727,410,2,2
62,56,0,0
101,76,51,45
2045,899,1677,881
40,32,0,0
75,43,4,3
661,357,9,7
930,685,2,2
1038,496,16,7
90,72,2,2
139,79,4,4
100,79,64,49
455,344,0,0
1678,818,776,412
104,43,0,0
182,105,87,70
670,412,14,11
1835,1024,4,2
206,130,104,84
5408,1858,275,160
643,331,0,0
629,438,0,0
1272,569,0,0
108,90,0,0
124,77,0,0
564,379,2,2
609,428,0,0
1325,727,2,1
445,366,0,0
520,325,11,10
6612,2660,33,27
295,237,277,231
212,161,0,0
148,122,0,0
268,183,0,0
292,117,127,57
48,25,0,0
75,26,55,24
737,544,1,1
299,180,6,4
19,10,13,7
930,553,5,3
1807,872,94,55
394,243,8,4
280,230,1128,787
65,25,0,0
1634,909,727,457
283,118,2,1
232,174,0,0
3008,1265,48,39
156,129,1,1
134,117,0,0
996,567,11,8
1300,801,3,2
744,584,0,0
58,58,0,0
664,394,49,27
1341,649,3,2
324,126,216,80
516,217,236,84
146,40,0,0
118,109,0,0
2688,1523,2,2
362,288,0,0
713,422,0,0
49,45,0,0
260,123,0,0
297,143,1,1
836,416,22,13
992,658,3,2
87,77,4,3
3094,1097,23,19
241,152,118,74
429,248,2,2
1225,830,1,1
309,229,0,0
250,147,76,41
111,80,6,5
1058,302,90,36
916,455,1,1
337,245,1,1
317,252,1,1
5209,1296,7,4
180,141,0,0
362,238,67,35
195,68,66,36
245,120,181,104
162,95,0,0
590,385,309,233
508,343,0,0
1806,1093,1418,869
3622,1248,289,149
137,71,0,0
249,183,0,0
1771,1094,1,1
62,55,0,0
578,359,12,7
65,53,1,1
634,435,3,2
2016,689,127,48
131,115,5,5
115,101,0,0
423,329,0,0
255,157,11,8
432,316,1,1
1514,859,5,4
1421,848,0,0
1289,494,39,16
709,378,7,4
52,34,1,1
2343,1366,15,9
699,495,0,0
242,152,2,2
330,269,2,2
185,120,0,0
154,90,4,3
1805,960,3,2
268,108,79,17
401,228,3,2
151,94,15,9
98,89,0,0
254,166,3,3
103,38,0,0
49,18,0,0
532,327,39,21
572,191,55,28
64,26,2,2
116,67,1,1
87,79,0,0
6253,2030,10,8
1110,749,1,1
1647,715,5,4
726,382,17,15
34,27,5,5
186,151,0,0
528,361,0,0
93,20,0,0
1585,821,0,0
250,180,2,1
95,66,0,0
980,662,2,2
458,249,7,5
2086,1156,0,0
116,61,4,3
3959,2002,3,3
521,115,225,34
2683,1478,12,8
383,243,3,2
406,309,0,0
279,197,1,1
3278,2048,31,22
76,63,61,41
92,50,22,15
831,417,6,4
98,16,0,0
168,137,2,2
715,359,0,0
2387,1395,5,5
201,114,8,2
53,40,0,0
60,50,0,0
117,88,2,2
809,531,309,241
79,55,0,0
232,167,1,1
311,196,4,2
397,269,0,0
120,96,0,0
178,15,152,6
651,383,22,18
179,129,0,0
796,469,5,3
1785,863,4,4
112,62,4,4
2042,554,27,19
542,368,4711,2245
1790,853,2,2
3263,1678,0,0
110,54,2,2
1291,483,490,220
233,63,8,4
263,200,0,0
1069,554,732,437
908,353,25,15
117,77,4,3
214,107,3,3
198,125,0,0
578,413,2,2
199,155,0,0
179,131,1,1
57,46,0,0
2280,1123,51,37
69,46,0,0
287,197,0,0
2935,1461,42,28
110,64,55,34
2729,1466,11,7
30,25,8,5
39,16,0,0
92,46,24,19
320,238,0,0
1120,688,1,1
211,180,1,1
2058,1222,61,42
